folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,1,0,450,3,0.199999999999996,12,1.5799999999999499,0,0,0,0,2,10,4,20,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,2,450,900,3,0.539999999999964,4,1.50000000000011,0,0,0,0,1,5,1,5,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,3,900,1350,6,4.26000000000022,0,0,0,0,0,0,2,10,0,0,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat44.csv,44____,16,6,1,C,Marios,90,4,1350,1800,5,11.5200000000002,2,0.0999999999999091,0,0,0,0,2,10,1,5,A,M,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,1,0,450,1,1,1,2.61999999999995,0,0,0,0,0,0,1,5,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,2,450,900,2,0.100000000000023,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,3,900,1350,1,0.0999999999999091,1,2.1400000000001,0,0,0,0,0,0,1,5,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat18.csv,18____,17,9,1,C,Marios,90,4,1350,1800,1,0.0199999999999818,0,0,0,0,0,0,0,0,0,0,B,F,B,X,Right,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,1,0,450,3,4.04000000000002,0,0,0,0,0,0,0,0,2,10,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,2,450,900,2,2.86000000000001,0,0,0,0,0,0,0,0,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2B,LPLAcquisitionRR2Day2B_Rat20.csv,20____,17,10,1,C,Marios,90,3,900,1350,2,1.86000000000001,0,0,0,0,0,0,0,0,1,5,B,F,B,Y,Right,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
