RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
2,3.8000000000000007,R34_20130227_1_LY,0.285776223,R34,20130227,1,LY
2,3.8000000000000007,R52_20130913_1_LY,0.009895925,R52,20130913,1,LY
2,3.8000000000000007,R54_20140617_1_LY,-0.214913039,R54,20140617,1,LY
2,3.8000000000000007,R55_20140619_1_LY,0.490982396,R55,20140619,1,LY
2,3.8000000000000007,R57_20140620_1_LY,0.500218017,R57,20140620,1,LY
2,3.8000000000000007,R69_20141209_1_LY,0.32532095,R69,20141209,1,LY
2,3.8000000000000007,R72_20141210_1_LY,0.27959834,R72,20141210,1,LY
2,3.9000000000000004,R29_20130227_0_SAL,-0.016322974,R29,20130227,0,SAL
2,3.9000000000000004,R34_20130301_0_SAL,-0.051390097,R34,20130301,0,SAL
2,3.9000000000000004,R52_20130911_0_SAL,0.112662338,R52,20130911,0,SAL
2,3.9000000000000004,R54_20140619_0_SAL,-0.017519527,R54,20140619,0,SAL
2,3.9000000000000004,R56_20140619_0_SAL,-0.039194276,R56,20140619,0,SAL
2,3.9000000000000004,R57_20140618_0_SAL,0.088063418,R57,20140618,0,SAL
2,3.9000000000000004,R58_20140620_0_SAL,0.060829755,R58,20140620,0,SAL
2,3.9000000000000004,R69_20141211_0_SAL,0.640066149,R69,20141211,0,SAL
2,3.9000000000000004,R72_20141212_0_SAL,-0.110030965,R72,20141212,0,SAL
2,3.9000000000000004,R29_20130227_1_SAL,0.100424618,R29,20130227,1,SAL
2,3.9000000000000004,R32_20130301_1_SAL,0.082878558,R32,20130301,1,SAL
2,3.9000000000000004,R34_20130301_1_SAL,0.152227613,R34,20130301,1,SAL
2,3.9000000000000004,R52_20130911_1_SAL,-0.45045683,R52,20130911,1,SAL
2,3.9000000000000004,R54_20140619_1_SAL,-0.091424692,R54,20140619,1,SAL
2,3.9000000000000004,R55_20140617_1_SAL,0.183079957,R55,20140617,1,SAL
2,3.9000000000000004,R57_20140618_1_SAL,0.125700321,R57,20140618,1,SAL
2,3.9000000000000004,R69_20141211_1_SAL,0.212658362,R69,20141211,1,SAL
2,3.9000000000000004,R72_20141212_1_SAL,-0.064268312,R72,20141212,1,SAL
2,3.9000000000000004,R29_20130301_0_LY,-0.083954584,R29,20130301,0,LY
2,3.9000000000000004,R34_20130227_0_LY,0.136929129,R34,20130227,0,LY
2,3.9000000000000004,R52_20130913_0_LY,0.057424214,R52,20130913,0,LY
2,3.9000000000000004,R54_20140617_0_LY,0.008719196,R54,20140617,0,LY
2,3.9000000000000004,R56_20140617_0_LY,-0.26867781,R56,20140617,0,LY
2,3.9000000000000004,R57_20140620_0_LY,0.407508334,R57,20140620,0,LY
2,3.9000000000000004,R58_20140618_0_LY,0.08465454,R58,20140618,0,LY
2,3.9000000000000004,R69_20141209_0_LY,0.519145218,R69,20141209,0,LY
2,3.9000000000000004,R72_20141210_0_LY,0.311603029,R72,20141210,0,LY
2,3.9000000000000004,R29_20130301_1_LY,0.230558851,R29,20130301,1,LY
2,3.9000000000000004,R32_20130227_1_LY,0.399105688,R32,20130227,1,LY
2,3.9000000000000004,R34_20130227_1_LY,0.279320846,R34,20130227,1,LY
2,3.9000000000000004,R52_20130913_1_LY,0.012367121,R52,20130913,1,LY
2,3.9000000000000004,R54_20140617_1_LY,-0.206344725,R54,20140617,1,LY
2,3.9000000000000004,R55_20140619_1_LY,0.53280272,R55,20140619,1,LY
2,3.9000000000000004,R57_20140620_1_LY,0.549245221,R57,20140620,1,LY
2,3.9000000000000004,R69_20141209_1_LY,0.32834632,R69,20141209,1,LY
2,3.9000000000000004,R72_20141210_1_LY,0.129856168,R72,20141210,1,LY
2,4,R29_20130227_0_SAL,-0.011585145,R29,20130227,0,SAL
2,4,R34_20130301_0_SAL,-0.099082948,R34,20130301,0,SAL
2,4,R52_20130911_0_SAL,0.131824799,R52,20130911,0,SAL
2,4,R54_20140619_0_SAL,0.027854605,R54,20140619,0,SAL
2,4,R56_20140619_0_SAL,-0.081133494,R56,20140619,0,SAL
2,4,R57_20140618_0_SAL,0.084101624,R57,20140618,0,SAL
2,4,R58_20140620_0_SAL,0.092170332,R58,20140620,0,SAL
2,4,R69_20141211_0_SAL,0.607698922,R69,20141211,0,SAL
2,4,R72_20141212_0_SAL,-0.129626426,R72,20141212,0,SAL
2,4,R29_20130227_1_SAL,0.104242517,R29,20130227,1,SAL
2,4,R32_20130301_1_SAL,0.045251781,R32,20130301,1,SAL
2,4,R34_20130301_1_SAL,0.124560429,R34,20130301,1,SAL
2,4,R52_20130911_1_SAL,-0.485356447,R52,20130911,1,SAL
2,4,R54_20140619_1_SAL,0.076826737,R54,20140619,1,SAL
2,4,R55_20140617_1_SAL,0.306297356,R55,20140617,1,SAL
2,4,R57_20140618_1_SAL,0.110883031,R57,20140618,1,SAL
2,4,R69_20141211_1_SAL,0.177132815,R69,20141211,1,SAL
2,4,R72_20141212_1_SAL,-0.087364111,R72,20141212,1,SAL
2,4,R29_20130301_0_LY,-0.166310138,R29,20130301,0,LY
2,4,R34_20130227_0_LY,0.001598007,R34,20130227,0,LY
2,4,R52_20130913_0_LY,0.011918691,R52,20130913,0,LY
2,4,R54_20140617_0_LY,-0.012819353,R54,20140617,0,LY
2,4,R56_20140617_0_LY,-0.266405009,R56,20140617,0,LY
2,4,R57_20140620_0_LY,0.515583671,R57,20140620,0,LY
2,4,R58_20140618_0_LY,0.106639504,R58,20140618,0,LY
2,4,R69_20141209_0_LY,0.524769707,R69,20141209,0,LY
2,4,R72_20141210_0_LY,0.318161318,R72,20141210,0,LY
2,4,R29_20130301_1_LY,0.207931568,R29,20130301,1,LY
2,4,R32_20130227_1_LY,0.410418446,R32,20130227,1,LY
2,4,R34_20130227_1_LY,0.174061,R34,20130227,1,LY
2,4,R52_20130913_1_LY,0.013440648,R52,20130913,1,LY
2,4,R54_20140617_1_LY,-0.191790631,R54,20140617,1,LY
2,4,R55_20140619_1_LY,0.534119444,R55,20140619,1,LY
2,4,R57_20140620_1_LY,0.691676524,R57,20140620,1,LY
2,4,R69_20141209_1_LY,0.32898475,R69,20141209,1,LY
2,4,R72_20141210_1_LY,0.113474668,R72,20141210,1,LY
2,4.1,R29_20130227_0_SAL,-0.001985554,R29,20130227,0,SAL
2,4.1,R34_20130301_0_SAL,-0.098489058,R34,20130301,0,SAL
2,4.1,R52_20130911_0_SAL,0.136266224,R52,20130911,0,SAL
2,4.1,R54_20140619_0_SAL,-0.087579937,R54,20140619,0,SAL
2,4.1,R56_20140619_0_SAL,-0.099746149,R56,20140619,0,SAL
2,4.1,R57_20140618_0_SAL,0.035342564,R57,20140618,0,SAL
2,4.1,R58_20140620_0_SAL,0.071009925,R58,20140620,0,SAL
2,4.1,R69_20141211_0_SAL,0.55951019,R69,20141211,0,SAL
2,4.1,R72_20141212_0_SAL,-0.025865325,R72,20141212,0,SAL
2,4.1,R29_20130227_1_SAL,0.118367782,R29,20130227,1,SAL
2,4.1,R32_20130301_1_SAL,-0.011129805,R32,20130301,1,SAL
2,4.1,R34_20130301_1_SAL,0.124507955,R34,20130301,1,SAL
2,4.1,R52_20130911_1_SAL,-0.486908257,R52,20130911,1,SAL
2,4.1,R54_20140619_1_SAL,0.019861661,R54,20140619,1,SAL
2,4.1,R55_20140617_1_SAL,0.356096704,R55,20140617,1,SAL
2,4.1,R57_20140618_1_SAL,0.104128312,R57,20140618,1,SAL
2,4.1,R69_20141211_1_SAL,0.136336025,R69,20141211,1,SAL
2,4.1,R72_20141212_1_SAL,0.024949001,R72,20141212,1,SAL
