Period,Time,UniqueID,DA,drug,Subj
Post,-1.5,SAL_M1059153,-0.956233405,SAL,M1059153
Post,-1.5,LY_M01007386,0.640941039,LY,M01007386
Post,-1.5,LY_M01007391,-0.301421715,LY,M01007391
Post,-1.5,LY_M01043738,-0.383566171,LY,M01043738
Post,-1.5,LY_M01043742,0.299684697,LY,M01043742
Post,-1.5,LY_M01059147,-0.406246483,LY,M01059147
Post,-1.5,LY_M1059152,-0.070385686,LY,M1059152
Post,-1.4,SAL_M01007385,-0.350892338,SAL,M01007385
Post,-1.4,SAL_M01043741,0.314518736,SAL,M01043741
Post,-1.4,SAL_M01043743,-0.021516159,SAL,M01043743
