day,session,room,Subj,Feeding,Amph,bin5mins,activity,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins
1,1,53,2,Food Dep,5,3,1476.818825,2,1,1,1,1
1,1,53,2,Food Dep,5,4,2264.724921,2,2,1,1,1
1,1,53,2,Food Dep,5,5,2539.402982,3,2,2,1,1
1,1,53,2,Food Dep,5,6,1946.860433,3,2,2,1,1
1,1,53,2,Food Dep,5,7,2018.101469,4,3,2,2,1
1,1,53,2,Food Dep,5,8,2087.861606,4,3,2,2,1
1,1,53,2,Food Dep,5,9,2061.506294,5,3,3,2,1
1,1,53,2,Food Dep,5,10,2019.925853,5,4,3,2,1
1,1,53,2,Food Dep,5,11,1892.161397,6,4,3,2,1
1,1,53,2,Food Dep,5,12,1707.35297,6,4,3,2,1
1,1,53,2,Food Dep,5,13,1696.166494,7,5,4,3,2
1,1,53,2,Food Dep,5,14,1511.17286,7,5,4,3,2
1,1,53,2,Food Dep,5,15,1528.522487,8,5,4,3,2
1,1,53,2,Food Dep,5,16,1635.297388,8,6,4,3,2
1,1,53,2,Food Dep,5,17,1649.716306,9,6,5,3,2
1,1,53,2,Food Dep,5,18,1905.783627,9,6,5,3,2
1,1,53,2,Food Dep,5,19,1763.622543,10,7,5,4,2
1,1,53,2,Food Dep,5,20,1855.363295,10,7,5,4,2
1,1,53,2,Food Dep,5,21,1937.678429,11,7,6,4,2
1,1,53,2,Food Dep,5,22,2092.658905,11,8,6,4,2
1,1,53,2,Food Dep,5,23,1867.84062,12,8,6,4,2
1,1,53,2,Food Dep,5,24,1714.752802,12,8,6,4,2
1,1,53,3,Food Dep,2.5,-11,1526.773414,-5,-3,-2,-1,-0
1,1,53,3,Food Dep,2.5,-10,1062.952493,-5,-3,-2,-1,-0
1,1,53,3,Food Dep,2.5,-9,669.944053,-4,-3,-2,-1,-0
1,1,53,3,Food Dep,2.5,-8,555.77531,-4,-2,-2,-1,-0
1,1,53,3,Food Dep,2.5,-7,490.396029,-3,-2,-1,-1,-0
1,1,53,3,Food Dep,2.5,-6,514.724866,-3,-2,-1,-1,-0
1,1,53,3,Food Dep,2.5,-5,313.337986,-2,-1,-1,-0,-0
1,1,53,3,Food Dep,2.5,-4,318.432031,-2,-1,-1,-0,-0
1,1,53,3,Food Dep,2.5,-3,421.195602,-1,-1,-0,-0,-0
1,1,53,3,Food Dep,2.5,-2,1036.87798,-1,-0,-0,-0,-0
1,1,53,3,Food Dep,2.5,-1,573.037188,-0,-0,-0,-0,-0
1,1,53,3,Food Dep,2.5,0,249.229507,0,0,0,0,0
