folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Day
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,549,16,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,550,1,0,0,0,0,0,0,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,551,2,0,0,0,0,1,0.799999999999955,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,552,3,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,553,4,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,554,5,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,555,6,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,556,7,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,557,8,0,0,0,0,1,0.879999999999996,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,558,9,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,8,559,10,0,0,0,0,0,1,0,0,A,Post,Pelletx3,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,746,1,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,747,2,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,748,3,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,749,4,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,750,5,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,751,6,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,752,7,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,753,8,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,754,9,0,0,0,0,0,0,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,2,755,10,0,0,0,0,1,0.439999999999941,0,0,A,Pre,PreCS,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,3,756,1,0,0,0,0,0,0,0,0,A,CS,Click,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,3,757,2,0,0,0,0,0,0,0,0,A,CS,Click,A+++/---,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,4,3,758,3,0,0,0,0,2,0.639999999999986,0,0,A,CS,Click,A+++/---,Stage1,Day1
