Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,13.6,-0.051605929,1.578292551,1.019663376,-0.645689132,1.24414437,-0.335879153,1.912489727,0.366990547,0.213502669,0.258078907,-0.104333933,-0.38182992
Post,13.7,-0.05773497,0.941180275,1.112170544,-0.646809421,0.663924457,-0.292129099,1.38844341,0.301287495,0.230540721,0.099279345,-0.008694058,-0.356513197
Post,13.8,-0.003446677,0.764461938,1.183840209,-0.646361617,1.103092542,-0.2984416,1.146769553,0.294111906,0.334862323,0.070246053,0.045629364,-0.243916156
Post,13.9,-0.018968808,1.453225007,1.257713514,-0.552752636,0.542060928,-0.352572362,0.765063054,0.320268772,0.243322967,0.228198034,0.087103222,-0.077452779
Post,14,-0.073232731,1.207939426,1.112422731,-0.701064641,0.652377022,-0.300430529,1.076895369,0.426154759,0.181328866,0.233190738,0.056896346,0.128311083
Post,14.1,-0.171394403,1.132726665,1.019667477,-0.687886332,-0.31379054,-0.349898225,0.61389342,0.419167026,0.212998648,0.140860421,0.004623863,0.066110147
Post,14.2,-0.118647945,0.828448013,0.939610353,-0.769141684,0.810453594,-0.326593854,0.857538931,0.280316716,0.185551452,0.10477516,-0.090015243,-0.018999529
Post,14.3,-0.067840624,1.13239797,0.896096302,-0.743888116,0.431001254,-0.249320234,1.035853309,0.139367844,0.09456123,0.223746595,-0.077401611,-0.084589123
Post,14.4,0.004278484,0.490626583,0.982106903,-0.699764372,1.216956539,-0.368144679,0.743845693,-0.082834266,0.020977158,0.287330091,0.075265543,-0.075400383
Post,14.5,0.025161394,0.741987782,0.968107238,-0.745465994,-0.73296318,-0.293926381,0.116069252,-0.173783528,0.09098252,0.268829601,0.111123301,-0.006035376
Post,14.6,-0.048760339,0.861327213,1.060772661,-0.761479605,0.985195143,-0.237293664,0.959534544,-0.005592648,0.102869586,0.301611504,0.128830378,0.06883617
Post,14.7,-0.047465575,0.86720637,0.95835797,-0.68167874,1.278639779,-0.275653697,0.425357798,-0.172182007,0.236118336,0.289616967,0.278436825,0.058742256
Post,14.8,-0.094835371,1.400533645,0.976878533,-0.693176932,-0.187444384,-0.350344086,1.017375691,-0.055181463,0.197336495,0.222417348,0.319257274,0.057802929
Post,14.9,-0.057111931,0.786948558,1.00400197,-0.651228939,1.054267176,-0.282809126,1.26935282,0.212310196,0.20722119,0.095194374,0.2916651,-0.093928173
Pre,0,-0.081160574,-0.014381083,-0.13726949,-0.370291378,0.514286571,-1.01069836,-0.076109331,-0.289559987,-0.499909358,0.246157509,-0.70187806,-0.260531139
Pre,0.1,0.015927007,-0.122646598,-0.17709679,-0.382559025,-0.021336071,-1.02139134,0.129311096,-0.338714376,-0.472735765,0.348527444,-0.600639934,-0.229082811
Pre,0.2,-0.066598744,-0.315349118,-0.270036124,-0.427446066,0.835081854,-0.953479486,-0.28674971,-0.114208403,-0.414877804,0.170837408,-0.621530224,-0.301976052
Pre,0.3,-0.251056942,0.148484675,-0.224674851,-0.528647392,0.116670786,-0.882546304,0.080739378,-0.125465373,-0.432281155,0.22923351,-0.693462295,-0.179517875
