folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,15,954.92,1014.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,16,1014.92,1074.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,17,1074.92,1134.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,18,1134.92,1194.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,19,1194.92,1254.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,20,1254.92,1314.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,21,1314.92,1374.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,22,1374.92,1434.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,23,1434.92,1494.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,24,1494.92,1554.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
