TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
High_100Vs50,72,39____,Noise_Siren,Keep,High,P50,LP,10
High_100Vs50,72,39____,Noise_Siren,Keep,Diff,High,CS,32
High_100Vs50,72,39____,Noise_Siren,Keep,Diff,High,LP,67
High_100Vs50,72,39____,Noise_Siren,Keep,PercDiff,High,LP,77.01149425287356
Low_100Vs50,65,10____,Tone_Click,Keep,Low,P100,CS,5
Low_100Vs50,65,10____,Tone_Click,Keep,Low,P50,CS,5
Low_100Vs50,65,10____,Tone_Click,Keep,Low,P100,LP,13
Low_100Vs50,65,10____,Tone_Click,Keep,Low,P50,LP,19
Low_100Vs50,65,10____,Tone_Click,Keep,Diff,Low,CS,0
Low_100Vs50,65,10____,Tone_Click,Keep,Diff,Low,LP,-6
Low_100Vs50,65,10____,Tone_Click,Keep,PercDiff,Low,LP,-18.75
Low_100Vs50,65,16____,Click_Tone,Exclude,Low,P100,CS,2
Low_100Vs50,65,16____,Click_Tone,Exclude,Low,P50,CS,0
Low_100Vs50,65,16____,Click_Tone,Exclude,Low,P100,LP,5
Low_100Vs50,65,16____,Click_Tone,Exclude,Low,P50,LP,0
Low_100Vs50,65,16____,Click_Tone,Exclude,Diff,Low,CS,2
Low_100Vs50,65,16____,Click_Tone,Exclude,Diff,Low,LP,5
Low_100Vs50,65,16____,Click_Tone,Exclude,PercDiff,Low,LP,100
Low_100Vs50,65,35____,Tone_Click,Keep,Low,P100,CS,1
Low_100Vs50,65,35____,Tone_Click,Keep,Low,P50,CS,3
Low_100Vs50,65,35____,Tone_Click,Keep,Low,P100,LP,2
Low_100Vs50,65,35____,Tone_Click,Keep,Low,P50,LP,6
Low_100Vs50,65,35____,Tone_Click,Keep,Diff,Low,CS,-2
Low_100Vs50,65,35____,Tone_Click,Keep,Diff,Low,LP,-4
Low_100Vs50,65,35____,Tone_Click,Keep,PercDiff,Low,LP,-50
Low_100Vs50,65,41____,Click_Tone,Exclude,Low,P100,CS,12
Low_100Vs50,65,41____,Click_Tone,Exclude,Low,P50,CS,0
Low_100Vs50,65,41____,Click_Tone,Exclude,Low,P100,LP,25
Low_100Vs50,65,41____,Click_Tone,Exclude,Low,P50,LP,2
Low_100Vs50,65,41____,Click_Tone,Exclude,Diff,Low,CS,12
Low_100Vs50,65,41____,Click_Tone,Exclude,Diff,Low,LP,23
Low_100Vs50,65,41____,Click_Tone,Exclude,PercDiff,Low,LP,85.18518518518519
Low_100Vs50,66,12____,Click_Tone,Exclude,Low,P100,CS,2
Low_100Vs50,66,12____,Click_Tone,Exclude,Low,P50,CS,0
Low_100Vs50,66,12____,Click_Tone,Exclude,Low,P100,LP,5
Low_100Vs50,66,12____,Click_Tone,Exclude,Low,P50,LP,0
Low_100Vs50,66,12____,Click_Tone,Exclude,Diff,Low,CS,2
Low_100Vs50,66,12____,Click_Tone,Exclude,Diff,Low,LP,5
Low_100Vs50,66,12____,Click_Tone,Exclude,PercDiff,Low,LP,100
Low_100Vs50,66,14____,Tone_Click,Keep,Low,P100,CS,3
Low_100Vs50,66,14____,Tone_Click,Keep,Low,P50,CS,1
Low_100Vs50,66,14____,Tone_Click,Keep,Low,P100,LP,8
Low_100Vs50,66,14____,Tone_Click,Keep,Low,P50,LP,3
Low_100Vs50,66,14____,Tone_Click,Keep,Diff,Low,CS,2
Low_100Vs50,66,14____,Tone_Click,Keep,Diff,Low,LP,5
Low_100Vs50,66,14____,Tone_Click,Keep,PercDiff,Low,LP,45.45454545454545
Low_100Vs50,66,37____,Click_Tone,Exclude,Low,P100,CS,1
Low_100Vs50,66,37____,Click_Tone,Exclude,Low,P50,CS,0
Low_100Vs50,66,37____,Click_Tone,Exclude,Low,P100,LP,2
Low_100Vs50,66,37____,Click_Tone,Exclude,Low,P50,LP,0
Low_100Vs50,66,37____,Click_Tone,Exclude,Diff,Low,CS,1
Low_100Vs50,66,37____,Click_Tone,Exclude,Diff,Low,LP,2
Low_100Vs50,66,37____,Click_Tone,Exclude,PercDiff,Low,LP,100
Low_100Vs50,66,39____,Tone_Click,Exclude,Low,P100,CS,1
Low_100Vs50,66,39____,Tone_Click,Exclude,Low,P50,CS,0
Low_100Vs50,66,39____,Tone_Click,Exclude,Low,P100,LP,2
Low_100Vs50,66,39____,Tone_Click,Exclude,Low,P50,LP,1
Low_100Vs50,66,39____,Tone_Click,Exclude,Diff,Low,CS,1
Low_100Vs50,66,39____,Tone_Click,Exclude,Diff,Low,LP,1
Low_100Vs50,66,39____,Tone_Click,Exclude,PercDiff,Low,LP,33.333333333333336
Low_100Vs50,71,11____,Noise_Siren,Exclude,Low,P100,CS,0
Low_100Vs50,71,11____,Noise_Siren,Exclude,Low,P50,CS,6
Low_100Vs50,71,11____,Noise_Siren,Exclude,Low,P100,LP,0
Low_100Vs50,71,11____,Noise_Siren,Exclude,Low,P50,LP,15
Low_100Vs50,71,11____,Noise_Siren,Exclude,Diff,Low,CS,-6
Low_100Vs50,71,11____,Noise_Siren,Exclude,Diff,Low,LP,-15
Low_100Vs50,71,11____,Noise_Siren,Exclude,PercDiff,Low,LP,-100
Low_100Vs50,71,13____,Siren_Noise,Exclude,Low,P100,CS,9
Low_100Vs50,71,13____,Siren_Noise,Exclude,Low,P50,CS,0
Low_100Vs50,71,13____,Siren_Noise,Exclude,Low,P100,LP,22
Low_100Vs50,71,13____,Siren_Noise,Exclude,Low,P50,LP,2
Low_100Vs50,71,13____,Siren_Noise,Exclude,Diff,Low,CS,9
Low_100Vs50,71,13____,Siren_Noise,Exclude,Diff,Low,LP,20
Low_100Vs50,71,13____,Siren_Noise,Exclude,PercDiff,Low,LP,83.33333333333333
Low_100Vs50,71,38____,Siren_Noise,Keep,Low,P100,CS,2
Low_100Vs50,71,38____,Siren_Noise,Keep,Low,P50,CS,5
Low_100Vs50,71,38____,Siren_Noise,Keep,Low,P100,LP,4
