Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,6,7,Tone,Pellet,4,14,8,22
skr214_sPIT_Satiety,6,8,Click,Sucrose,3.75,-6.125,14.5,8.375
skr214_sPIT_Satiety,6,8,Noise,Pellet,4,12.25,6.125,18.375
skr214_sPIT_Satiety,6,8,Tone,Maltodextrin,3.25,4.75,5.5,10.25
skr214_sPIT_Satiety,6,9,Click,Maltodextrin,6.25,8.375,4.625,13
skr214_sPIT_Satiety,6,9,Noise,Sucrose,5.25,15.625,4.25,19.875
skr214_sPIT_Satiety,6,9,Tone,Pellet,2.75,6.125,5.875,12
skr214_sPIT_Satiety,6,10,Click,Pellet,3.25,5.875,4.5,10.375
skr214_sPIT_Satiety,6,10,Noise,Sucrose,5.5,4.875,5.875,10.75
skr214_sPIT_Satiety,6,10,Tone,Maltodextrin,3.75,5.75,5.625,11.375
skr214_sPIT_Satiety,6,11,Click,Sucrose,3.5,1,5.625,6.625
skr214_sPIT_Satiety,6,11,Noise,Pellet,4.25,12.375,5,17.375
skr214_sPIT_Satiety,6,11,Tone,Maltodextrin,4.5,4.125,4,8.125
skr214_sPIT_Satiety,6,12,Click,Maltodextrin,4.25,5.75,5.125,10.875
skr214_sPIT_Satiety,6,12,Noise,Pellet,4,11.375,4.625,16
skr214_sPIT_Satiety,6,12,Tone,Sucrose,4,5.875,6,11.875
skr214_sPIT_Satiety,6,13,Click,Sucrose,3.25,7.375,3.25,10.625
skr214_sPIT_Satiety,6,13,Noise,Maltodextrin,4.75,13,3.25,16.25
skr214_sPIT_Satiety,6,13,Tone,Pellet,3.25,6.125,3.875,10
skr214_sPIT_Satiety,6,14,Click,Pellet,4.5,8.75,2.625,11.375
skr214_sPIT_Satiety,6,14,Noise,Maltodextrin,4.75,10.5,2.125,12.625
skr214_sPIT_Satiety,6,14,Tone,Sucrose,5,6.375,3,9.375
skr214_sPIT_Satiety,6,15,Click,Pellet,4.25,7.375,6.125,13.5
skr214_sPIT_Satiety,6,15,Noise,Sucrose,4.75,10.25,5.875,16.125
skr214_sPIT_Satiety,6,15,Tone,Maltodextrin,5,3.5,6.25,9.75
skr214_sPIT_Satiety,6,16,Click,Sucrose,4.5,15.75,1.875,17.625
skr214_sPIT_Satiety,6,16,Noise,Maltodextrin,5,11,4.75,15.75
skr214_sPIT_Satiety,6,16,Tone,Pellet,2.5,13.25,5.875,19.125
skr214_sPIT_Satiety,7,1,Click,Maltodextrin,5.25,6.875,2.625,9.5
skr214_sPIT_Satiety,7,1,Noise,Sucrose,2.25,11,2.5,13.5
skr214_sPIT_Satiety,7,1,Tone,Pellet,3.5,6.25,5,11.25
skr214_sPIT_Satiety,7,2,Click,Pellet,3.75,10.5,2.875,13.375
skr214_sPIT_Satiety,7,2,Noise,Sucrose,3,10.75,4.125,14.875
skr214_sPIT_Satiety,7,2,Tone,Maltodextrin,4.75,10.125,1.5,11.625
skr214_sPIT_Satiety,7,3,Click,Sucrose,2.75,1.5,3,4.5
skr214_sPIT_Satiety,7,3,Noise,Pellet,4,6.75,4.125,10.875
skr214_sPIT_Satiety,7,3,Tone,Maltodextrin,5,1.25,3,4.25
skr214_sPIT_Satiety,7,4,Click,Maltodextrin,5.25,2.75,5.375,8.125
skr214_sPIT_Satiety,7,4,Noise,Pellet,4.5,18.375,4,22.375
skr214_sPIT_Satiety,7,4,Tone,Sucrose,4.5,8.75,3,11.75
skr214_sPIT_Satiety,7,5,Click,Sucrose,4.75,9.5,1.75,11.25
skr214_sPIT_Satiety,7,5,Noise,Maltodextrin,4.5,13.25,3.75,17
skr214_sPIT_Satiety,7,5,Tone,Pellet,5,11.5,2.25,13.75
skr214_sPIT_Satiety,7,6,Click,Pellet,3.25,7.5,7.25,14.75
skr214_sPIT_Satiety,7,6,Noise,Maltodextrin,6,13.375,3.5,16.875
skr214_sPIT_Satiety,7,6,Tone,Sucrose,4.5,2.25,6.375,8.625
skr214_sPIT_Satiety,7,7,Click,Maltodextrin,3.25,9,2.25,11.25
skr214_sPIT_Satiety,7,7,Noise,Sucrose,3.5,15.25,3.125,18.375
skr214_sPIT_Satiety,7,7,Tone,Pellet,5.25,15.5,2.125,17.625
skr214_sPIT_Satiety,7,8,Click,Sucrose,3.75,4,3.625,7.625
skr214_sPIT_Satiety,7,8,Noise,Pellet,3.75,8.25,5.25,13.5
skr214_sPIT_Satiety,7,8,Tone,Maltodextrin,3.75,6.25,4.75,11
skr214_sPIT_Satiety,7,9,Click,Maltodextrin,4.25,8.875,5.625,14.5
skr214_sPIT_Satiety,7,9,Noise,Sucrose,5,16.875,2.75,19.625
skr214_sPIT_Satiety,7,9,Tone,Pellet,5.25,10.5,3.625,14.125
skr214_sPIT_Satiety,7,10,Click,Pellet,3.5,6.625,3.75,10.375
skr214_sPIT_Satiety,7,10,Noise,Sucrose,5,10.5,3.375,13.875
skr214_sPIT_Satiety,7,10,Tone,Maltodextrin,4.75,6.5,4.5,11
skr214_sPIT_Satiety,7,11,Click,Sucrose,3.25,3.875,2,5.875
